45,2865,-12,-7,-6,-4,-75,-52,-22,-2
67,3320,-43,5,-12,-20,-80,-10,67,23
92,3374,-109,0,-12,-14,-67,27,95,67
115,3143,-134,18,8,-19,-54,20,109,121
107,2502,-25,8,12,-26,-59,-1,80,141
68,1714,37,3,7,-26,-50,0,53,80
14,1035,32,-10,4,-24,-7,21,33,-6
-32,455,0,-26,-15,-7,28,14,15,-86
-55,1,-6,-8,-20,20,53,14,18,-85
-49,-163,54,23,-31,2,40,13,26,-26
-4,11,45,-3,-47,-36,3,-13,13,42
62,374,20,-42,-59,-63,-11,-42,-7,100
115,953,-46,-59,-82,-92,-41,-60,-41,141
81,1634,-55,-50,-68,-73,-38,-45,-18,109
-26,2311,-26,-31,-40,-40,-40,-55,-34,-1
-140,3146,-33,-25,0,1,-44,-74,-93,-95
-233,3921,-1,23,70,83,20,-15,-79,-99
-292,4345,4,61,109,141,68,39,-13,-124
-283,4287,51,83,110,144,84,51,-33,-201
-138,3988,65,54,67,87,46,27,-41,-220
-16,3413,43,14,25,36,10,-1,-48,-153
22,2485,-31,-4,6,22,11,15,2,-52
76,1559,-147,-31,-32,-10,0,15,40,43
143,712,-131,-31,-51,-54,-30,-2,6,102
181,-51,-13,-16,-35,-63,-49,16,59,114
221,-678,70,10,-20,-81,-79,0,90,118
179,-980,56,27,-24,-66,-53,-38,26,78
90,-973,22,8,-33,-42,-12,-51,-10,73
34,-753,30,-16,-35,0,0,-55,14,121
25,-237,15,-25,-23,49,27,-53,34,106
-9,349,33,-11,4,74,67,-60,27,0
-23,1014,45,3,18,60,98,-42,-3,-38
-27,1822,63,23,15,9,91,-15,-51,-36
-69,2536,59,32,6,-20,60,-34,-85,-88
-106,2860,33,25,-2,-3,41,-43,-101,-148
-93,2798,34,18,-1,21,40,-16,-63,-148
-60,2546,36,20,4,17,9,-6,-8,-71
-10,1953,33,21,6,-11,-18,-29,-51,-16
-10,1170,24,31,12,-11,-6,-32,-73,-13
-14,463,8,26,8,-10,24,-2,10,5
38,-88,-4,3,-7,-26,49,34,79,63
78,-558,17,9,-27,-39,32,34,51,97
83,-918,-2,-19,-57,-72,-2,28,51,77
50,-892,-24,-49,-74,-88,-11,38,77,18
9,-594,8,-18,-30,-60,0,36,87,-44
-10,-89,25,26,7,-18,27,41,134,-67
-25,624,9,11,7,11,47,78,136,-33
-22,1319,-20,-26,-5,17,12,58,66,2
-33,2008,-62,-62,-29,-4,-12,3,-56,27
-59,2773,-64,-64,-41,-14,-33,-55,-184,-42
-108,3390,-66,-46,5,4,-34,-105,-317,-147
-140,3438,-120,-10,59,13,-15,-123,-365,-189
-113,3089,-100,24,63,-16,-31,-113,-301,-166
-103,2438,-64,63,63,-44,-52,-114,-221,-144
-79,1401,-61,38,43,-43,-38,-72,-91,-113
-28,381,-61,-37,-8,-23,26,34,96,-53
48,-498,-35,-61,-78,-17,36,89,149,-1
90,-1293,4,-25,-112,-53,-12,74,195,47
76,-2011,48,14,-166,-99,-32,87,324,71
113,-2514,57,-26,-197,-110,-26,159,461,79
132,-2736,76,-25,-109,-57,-2,166,403,-11
109,-2829,98,34,-25,-3,11,112,237,-84
117,-2354,52,34,-20,-7,-21,63,128,-6
159,-1456,3,25,-23,-35,-74,46,109,97
197,-814,5,78,10,-50,-81,23,85,200
226,-217,-26,122,63,-72,-114,-25,70,383
211,333,-78,174,134,-62,-153,-66,71,511
126,582,-8,213,145,-10,-159,-73,76,496
-1,446,25,163,125,15,-150,-83,46,279
-64,68,-94,61,101,48,-100,-75,0,-11
-94,-659,-99,0,54,55,-44,-41,-35,-145
-212,-1680,-18,-57,-56,42,2,-27,-68,-220
-228,-2815,-59,-151,-164,2,10,-20,-124,-152
0,-3330,-85,-119,-143,-31,6,-13,-138,38
224,-3209,-35,-112,-163,-10,108,17,-117,224
161,-3485,10,-182,-158,57,238,65,-118,178
-145,-3525,49,-163,-81,101,273,35,-186,-269
